7:302,58,8,616,29,61,650,15,1511,301
18:17123,32205,554,2829,1549,6641,1804,6481,245,21595
19:71598,27875,52928,102098,29970,82978,68755,82960,41520,12747
36:615,631,757,449,167,2429,2655,1603,1960,3588
37:1262,7910,1412,103,12202,2345,710,13917,4798,21433
41:293,326,970,1185,1288,1542,2524,2682,4537,4782
42:21,408,967,1627,1713,3807,3844,4258,3278,1162
43:57659,6706,25661,86194,109555,109383,20557,48295,104058,97168
44:35850,60026,80517,102045,50534,21035,86283,48755,16850,19470
45:16456,12216,19829,22555,26924,30892,32623,33237,34277,11557
46:6888,72438,92935,64558,100573,87264,88095,104086,97255,61708
59:22,506,2007,2008,2200,2678,1313,3646,4471,5340
60:302,58,84,616,564,224,45,3563,650,29
69:615,631,757,508,167,2429,2655,1603,1960,3588
70:43370,38821,18146,85630,46566,108728,69302,91211,61910,25475
94:4194,353,6913,8579,10094,12933,7854,9584,6397,11670
106:615,631,757,508,449,167,2429,2655,1603,3588
115:1960,289,12360,510,1772,4497,1476,1086,1245,4834
116:81286,19930,54943,17725,83739,102282,17776,78170,55055,32119
142:615,631,757,167,2429,1960,3588,3658,4186,4938
143:3231,394,483,1196,2031,564,126,16703,10043,8365
148:64129,103802,24439,74248,119782,117789,50778,40209,37136,76748
150:17,302,564,654,61,101,15,8,84,29
156:101678,105473,45178,76096,12205,71149,40489,11050,19684,117976
161:615,631,757,508,449,167,2429,2655,1603,1960
171:1220,8,1535,61,76,103,2181,12886,3313,1476
172:61,1344,101,2166,642,32,10181,66,58,518
174:8,518,11194,3233,296,117,899,873,483,1208
177:69498,20850,14701,29827,58360,5613,42292,63085,19632,120422
196:61,358,3313,1196,364,4414,564,66,15,224
202:449,401,1086,1245,1220,402,1511,4697,1212,490
211:1652,4937,6574,13733,11559,15589,5512,19749,19852,6475
217:518,131,2769,1102,84,13337,656,18700,31515,7451
220:186,13192,1342,22713,64973,39446,10178,46413,7649,15660
223:245,650,58,616,103,1558,8,3313,364,394
224:4797,353,1951,518,17,245,8,84,654,616
225:542,61,76,564,15,654,616,302,1196,58
